Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
JSE:RMH,"RMB Holdings Limited (JSE:RMH)",https://www.listcorp.com/jse/rmh/rmb-holdings-limited,"	2301080000",1.63,0.00,0,Financials
JSE:FVT,"Fairvest Property Holdings (JSE:FVT)",https://www.listcorp.com/jse/fvt/fairvest-property-holdings,"	2145160000",2.05,0.00,0,Financials
JSE:CRP,"Capital & Regional plc (JSE:CRP)",https://www.listcorp.com/jse/crp/capital-and-regional-plc,"	2115460000",12.79,0.00,0,Financials
JSE:AVV,"Alviva Holdings Limited (JSE:AVV)",https://www.listcorp.com/jse/avv/alviva-holdings-limited,"	2038760000",16.75,0.00,0,Technology
JSE:SUR,"Spur Corporation Limited (JSE:SUR)",https://www.listcorp.com/jse/sur/spur-corporation-limited,"	1983730000",21.8,0.00,0,"Consumer Services"
JSE:DRA,"DRA Global Limited (JSE:DRA)",https://www.listcorp.com/jse/dra/dra-global-limited,"	1895810000",35,0.00,0,Industrials
JSE:CMH,"Combined Motor Holdings Limited (JSE:CMH)",https://www.listcorp.com/jse/cmh/combined-motor-holdings-limited,"	1862570000",24.9,0.00,0,"Consumer Services"
JSE:TTO,"Trustco Group Holdings Limited (JSE:TTO)",https://www.listcorp.com/jse/tto/trustco-group-holdings-limited,"	1858440000",1.15,0.00,0,Financials
JSE:SEA,"Spear Reit Limited (JSE:SEA)",https://www.listcorp.com/jse/sea/spear-reit-limited,"	1824230000",8.5,0.00,0,Financials
JSE:MDI,"Master Drilling Group Limited (JSE:MDI)",https://www.listcorp.com/jse/mdi/master-drilling-group,"	1815150000",12,0.00,0,Industrials
JSE:ARH,"ARB Holdings Limited (JSE:ARH)",https://www.listcorp.com/jse/arh/arb-holdings-limited,"	1774250000",7.55,0.00,0,Industrials
JSE:BWN,"Balwin Properties Limited (JSE:BWN)",https://www.listcorp.com/jse/bwn/balwin-properties-limited,"	1662120000",3.2,0.00,0,Financials
JSE:ACS,"Acsion Limited (JSE:ACS)",https://www.listcorp.com/jse/acs/acsion-limited,"	1654880000",4.19,0.00,0,Financials
JSE:BRN,"Brimstone Investment Corporation - N Shares (JSE:BRN)",https://www.listcorp.com/jse/brn/brimstone-investment-corporation-n,"	1586080000",7.05,0.00,0,Financials
JSE:SAR,"Safari Investments RSA Limited (JSE:SAR)",https://www.listcorp.com/jse/sar/safari-investments-rsa-limited,"	1554130000",5,0.00,0,Financials
JSE:ENX,"enX Group Limited (JSE:ENX)",https://www.listcorp.com/jse/enx/enx-group-limited,"	1549660000",8.5,0.00,0,Industrials
JSE:EMN,"E Media Holdings Limited - N Shares (JSE:EMN)",https://www.listcorp.com/jse/emn/e-media-holdings-limited-n,"	1470420000",3.85,0.00,0,"Consumer Services"
JSE:HLM,"Hulamin Limited (JSE:HLM)",https://www.listcorp.com/jse/hlm/hulamin-limited,"	1469160000",4.53,0.00,0,"Basic Materials"
JSE:MFL,"Metrofile Holdings Limited (JSE:MFL)",https://www.listcorp.com/jse/mfl/metrofile-holdings-limited,"	1465910000",3.38,0.00,0,Industrials
JSE:EPE,"EPE Capital Partners Limited (JSE:EPE)",https://www.listcorp.com/jse/epe/epe-capital-partners-limited,"	1457620000",5.07,0.00,0,Financials
JSE:OAS,"Oasis Crescent Property Fund (JSE:OAS)",https://www.listcorp.com/jse/oas/oasis-crescent-property-fund,"	1361620000",20.25,0.00,0,Financials
JSE:ORN,"Orion Minerals Limited (JSE:ORN)",https://www.listcorp.com/jse/orn/orion-minerals-limited,"	1361420000",0.33,0.00,0,"Basic Materials"
JSE:UPL,"Universal Partners Limited (JSE:UPL)",https://www.listcorp.com/jse/upl/universal-partners-limited,"	1346540000",18.5,0.00,0,Financials
JSE:TEX,"Texton Property Fund Limited (JSE:TEX)",https://www.listcorp.com/jse/tex/texton-property-fund-limited,"	1334580000",3.65,0.00,0,Financials
JSE:GPL,"Grand Parade Investments Limited (JSE:GPL)",https://www.listcorp.com/jse/gpl/grand-parade-investments-limited,"	1264360000",2.69,0.00,0,Financials
JSE:BEL,"Bell Equipment Limited (JSE:BEL)",https://www.listcorp.com/jse/bel/bell-equipment-limited,"	1243180000",13,0.00,0,Industrials
JSE:AYO,"AYO Tech Solutions (JSE:AYO)",https://www.listcorp.com/jse/ayo/ayo-tech-solutions,"	1204440000",3.5,0.00,0,Technology
JSE:YRK,"York Timber Holdings Limited (JSE:YRK)",https://www.listcorp.com/jse/yrk/york-timber-holdings-limited,"	1192470000",3.6,0.00,0,"Basic Materials"
JSE:ILU,"Indluplace Properties Limited (JSE:ILU)",https://www.listcorp.com/jse/ilu/indluplace-properties-limited,"	1177830000",3.5,0.00,0,Financials
JSE:DIB,"Dipula Income Fund Limited B (JSE:DIB)",https://www.listcorp.com/jse/dib/dipula-income-fund-limited-b,"	1177760000",4.45,0.00,0,Financials
JSE:HPR,"Hosken Passenger Logistics and Rail Limited (JSE:HPR)",https://www.listcorp.com/jse/hpr/hosken-passenger-logistics-and-rail-limited,"	1160000000",3.82,0.00,0,"Consumer Services"
JSE:APF,"Accelerate Property Fund Ltd (JSE:APF)",https://www.listcorp.com/jse/apf/accelerate-property-fund-ltd,"	1112490000",1.11,0.00,0,Financials
JSE:QFH,"Quantum Foods Holdings (JSE:QFH)",https://www.listcorp.com/jse/qfh/quantum-foods-holdings,"	1050130000",5.25,0.00,0,"Consumer Goods"
JSE:SOLBE1,"Sasol Limited - BEE (JSE:SOLBE1)",https://www.listcorp.com/jse/solbe1/sasol-limited-bee,"	1013020000",160,0.00,0,"Basic Materials"
JSE:CHP,"Choppies Enterprises Limited (JSE:CHP)",https://www.listcorp.com/jse/chp/choppies-enterprises-limited,"	977721000",0.75,0.00,0,"Consumer Services"
JSE:AHA,"Arrowhead Properties Limited A (JSE:AHA)",https://www.listcorp.com/jse/aha/arrowhead-properties-limited-a,"	965867000",15.4,0.00,0,Financials
JSE:PBG,"PBT Group Limited (JSE:PBG)",https://www.listcorp.com/jse/pbg/pbt-group-limited,"	953748000",9,0.00,0,Technology
JSE:SFN,"Sasfin Holdings Limited (JSE:SFN)",https://www.listcorp.com/jse/sfn/sasfin-holdings-limited,"	936742000",29,0.00,0,Financials
JSE:EOH,"EOH Holdings (JSE:EOH)",https://www.listcorp.com/jse/eoh/eoh-holdings,"	930392000",5.27,0.00,0,Technology
JSE:TRE,"Trencor Limited (JSE:TRE)",https://www.listcorp.com/jse/tre/trencor-limited,"	926675000",5.34,0.00,0,Industrials
JSE:TPF,"Transcend Residential Property Fund Limited (JSE:TPF)",https://www.listcorp.com/jse/tpf/transcend-residential-property-fund-limited,"	918176000",5.6,0.00,0,Financials
JSE:BCF,"Bowler Metcalf Limited (JSE:BCF)",https://www.listcorp.com/jse/bcf/bowler-metcalf-limited,"	900749000",11.5,0.00,0,Industrials
JSE:MST,"Mustek Limited (JSE:MST)",https://www.listcorp.com/jse/mst/mustek-limited,"	860100000",14.1,0.00,0,Technology
JSE:FGL,"Finbond Group Limited (JSE:FGL)",https://www.listcorp.com/jse/fgl/finbond-group-limited,"	844666000",0.93,0.00,0,Financials
JSE:DNB,"Deneb Investments Limited (JSE:DNB)",https://www.listcorp.com/jse/dnb/deneb-investments-limited,"	828209000",1.9,0.00,0,Financials
JSE:SNV,"Santova Limited (JSE:SNV)",https://www.listcorp.com/jse/snv/santova-limited,"	821098000",5.94,0.00,0,Industrials
JSE:NVS,"Novus Holdings Limited (JSE:NVS)",https://www.listcorp.com/jse/nvs/novus-holdings-limited,"	814642000",2.35,0.00,0,Industrials
JSE:MMP,"Marshall Monteagle PLC (JSE:MMP)",https://www.listcorp.com/jse/mmp/marshall-monteagle-plc,"	806794000",22.5,0.00,0,Industrials
JSE:WSL,"Wescoal Holdings Limited (JSE:WSL)",https://www.listcorp.com/jse/wsl/wescoal-holdings-limited,"	797842000",1.9,0.00,0,"Basic Materials"
JSE:OLG,"Onelogix Group Limited (JSE:OLG)",https://www.listcorp.com/jse/olg/onelogix-group-limited,"	775217000",2.96,0.00,0,Industrials
JSE:TMT,"Trematon Capital Investments Limited (JSE:TMT)",https://www.listcorp.com/jse/tmt/trematon-capital-investments-limited,"	770713000",3.4,0.00,0,Financials
JSE:ART,"Argent Industrial Limited (JSE:ART)",https://www.listcorp.com/jse/art/argent-industrial-limited,"	770354000",13.2,0.00,0,Industrials
JSE:DKR,"Deutsche Konsum REIT-AG (JSE:DKR)",https://www.listcorp.com/jse/dkr/deutsche-konsum-reit,"	720697000",20.5,0.00,0,Financials
JSE:NWL,"Nu-World Holdings Limited (JSE:NWL)",https://www.listcorp.com/jse/nwl/nu-world-holdings-limited,"	713364000",31.5,0.00,0,"Consumer Goods"
